sepal.length	sepal.width	petal.length	petal.width	variety	sepalProd	petalProd
5	3.3	1.4	0.2	Iris-setosa    	16.5	0.3
7	3.2	4.7	1.4	Iris-versicolor	22.4	6.6
6.4	3.2	4.5	1.5	Iris-versicolor	20.5	6.8
6.9	3.1	4.9	1.5	Iris-versicolor	21.4	7.4
5.5	2.3	4	1.3	Iris-versicolor	12.6	5.2
6.5	2.8	4.6	1.5	Iris-versicolor	18.2	6.9
5.7	2.8	4.5	1.3	Iris-versicolor	16	5.9
6.3	3.3	4.7	1.6	Iris-versicolor	20.8	7.5
4.9	2.4	3.3	1	Iris-versicolor	11.8	3.3
6.6	2.9	4.6	1.3	Iris-versicolor	19.1	6
5.2	2.7	3.9	1.4	Iris-versicolor	14	5.5
5	2	3.5	1	Iris-versicolor	10	3.5
5.9	3	4.2	1.5	Iris-versicolor	17.7	6.3
6	2.2	4	1	Iris-versicolor	13.2	4
6.1	2.9	4.7	1.4	Iris-versicolor	17.7	6.6
5.6	2.9	3.6	1.3	Iris-versicolor	16.2	4.7
6.7	3.1	4.4	1.4	Iris-versicolor	20.8	6.2
5.6	3	4.5	1.5	Iris-versicolor	16.8	6.8
5.8	2.7	4.1	1	Iris-versicolor	15.7	4.1
6.2	2.2	4.5	1.5	Iris-versicolor	13.6	6.8
5.6	2.5	3.9	1.1	Iris-versicolor	14	4.3
5.9	3.2	4.8	1.8	Iris-versicolor	18.9	8.6
6.1	2.8	4	1.3	Iris-versicolor	17.1	5.2
6.3	2.5	4.9	1.5	Iris-versicolor	15.8	7.4
6.1	2.8	4.7	1.2	Iris-versicolor	17.1	5.6
6.4	2.9	4.3	1.3	Iris-versicolor	18.6	5.6
6.6	3	4.4	1.4	Iris-versicolor	19.8	6.2
6.8	2.8	4.8	1.4	Iris-versicolor	19	6.7
6.7	3	5	1.7	Iris-versicolor	20.1	8.5
6	2.9	4.5	1.5	Iris-versicolor	17.4	6.8
5.7	2.6	3.5	1	Iris-versicolor	14.8	3.5
5.5	2.4	3.8	1.1	Iris-versicolor	13.2	4.2
5.5	2.4	3.7	1	Iris-versicolor	13.2	3.7
5.8	2.7	3.9	1.2	Iris-versicolor	15.7	4.7
6	2.7	5.1	1.6	Iris-versicolor	16.2	8.2
5.4	3	4.5	1.5	Iris-versicolor	16.2	6.8
6	3.4	4.5	1.6	Iris-versicolor	20.4	7.2
6.7	3.1	4.7	1.5	Iris-versicolor	20.8	7.1
6.3	2.3	4.4	1.3	Iris-versicolor	14.5	5.7
5.6	3	4.1	1.3	Iris-versicolor	16.8	5.3
5.5	2.5	4	1.3	Iris-versicolor	13.8	5.2
5.5	2.6	4.4	1.2	Iris-versicolor	14.3	5.3
6.1	3	4.6	1.4	Iris-versicolor	18.3	6.4
5.8	2.6	4	1.2	Iris-versicolor	15.1	4.8
5	2.3	3.3	1	Iris-versicolor	11.5	3.3
5.6	2.7	4.2	1.3	Iris-versicolor	15.1	5.5
5.7	3	4.2	1.2	Iris-versicolor	17.1	5
5.7	2.9	4.2	1.3	Iris-versicolor	16.5	5.5
6.2	2.9	4.3	1.3	Iris-versicolor	18	5.6
5.1	2.5	3	1.1	Iris-versicolor	12.8	3.3
5.7	2.8	4.1	1.3	Iris-versicolor	16	5.3
6.3	3.3	6	2.5	Iris-virginica 	20.8	15
5.8	2.7	5.1	1.9	Iris-virginica 	15.7	9.7
7.1	3	5.9	2.1	Iris-virginica 	21.3	12.4
6.3	2.9	5.6	1.8	Iris-virginica 	18.3	10.1
6.5	3	5.8	2.2	Iris-virginica 	19.5	12.8
7.6	3	6.6	2.1	Iris-virginica 	22.8	13.9
4.9	2.5	4.5	1.7	Iris-virginica 	12.2	7.6
7.3	2.9	6.3	1.8	Iris-virginica 	21.2	11.3
6.7	2.5	5.8	1.8	Iris-virginica 	16.8	10.4
7.2	3.6	6.1	2.5	Iris-virginica 	25.9	15.2
6.5	3.2	5.1	2	Iris-virginica 	20.8	10.2
6.4	2.7	5.3	1.9	Iris-virginica 	17.3	10.1
6.8	3	5.5	2.1	Iris-virginica 	20.4	11.6
5.7	2.5	5	2	Iris-virginica 	14.2	10
5.8	2.8	5.1	2.4	Iris-virginica 	16.2	12.2
6.4	3.2	5.3	2.3	Iris-virginica 	20.5	12.2
6.5	3	5.5	1.8	Iris-virginica 	19.5	9.9
7.7	3.8	6.7	2.2	Iris-virginica 	29.3	14.7
7.7	2.6	6.9	2.3	Iris-virginica 	20	15.9
6	2.2	5	1.5	Iris-virginica 	13.2	7.5
6.9	3.2	5.7	2.3	Iris-virginica 	22.1	13.1
5.6	2.8	4.9	2	Iris-virginica 	15.7	9.8
7.7	2.8	6.7	2	Iris-virginica 	21.6	13.4
6.3	2.7	4.9	1.8	Iris-virginica 	17	8.8
6.7	3.3	5.7	2.1	Iris-virginica 	22.1	12
7.2	3.2	6	1.8	Iris-virginica 	23	10.8
6.2	2.8	4.8	1.8	Iris-virginica 	17.4	8.6
6.1	3	4.9	1.8	Iris-virginica 	18.3	8.8
6.4	2.8	5.6	2.1	Iris-virginica 	17.9	11.8
7.2	3	5.8	1.6	Iris-virginica 	21.6	9.3
7.4	2.8	6.1	1.9	Iris-virginica 	20.7	11.6
7.9	3.8	6.4	2	Iris-virginica 	30	12.8
6.4	2.8	5.6	2.2	Iris-virginica 	17.9	12.3
6.3	2.8	5.1	1.5	Iris-virginica 	17.6	7.6
6.1	2.6	5.6	1.4	Iris-virginica 	15.9	7.8
7.7	3	6.1	2.3	Iris-virginica 	23.1	14
6.3	3.4	5.6	2.4	Iris-virginica 	21.4	13.4
6.4	3.1	5.5	1.8	Iris-virginica 	19.8	9.9
6	3	4.8	1.8	Iris-virginica 	18	8.6
6.9	3.1	5.4	2.1	Iris-virginica 	21.4	11.3
6.7	3.1	5.6	2.4	Iris-virginica 	20.8	13.4
6.9	3.1	5.1	2.3	Iris-virginica 	21.4	11.7
5.8	2.7	5.1	1.9	Iris-virginica 	15.7	9.7
6.8	3.2	5.9	2.3	Iris-virginica 	21.8	13.6
6.7	3.3	5.7	2.5	Iris-virginica 	22.1	14.2
6.7	3	5.2	2.3	Iris-virginica 	20.1	12
6.3	2.5	5	1.9	Iris-virginica 	15.8	9.5
6.5	3	5.2	2	Iris-virginica 	19.5	10.4
6.2	3.4	5.4	2.3	Iris-virginica 	21.1	12.4
5.9	3	5.1	1.8	Iris-virginica 	17.7	9.2
